Article ID,Sentence ID,Sentence,Article,Link,Category,Subcategory,Number of Words
1,15,"Zudem erfolgt im Laufe des Auslaufprozesses eine Anreicherung von Seifenfilm-stabilisierenden Tensidmolekülen im unteren Bereich der Seifenblase, sodass deren obere Region infolge des relativen Mangels von an die Oberfläche adsorbierten Tensidmolekülen zusätzlich destabilisiert wird.",Seifenblase,https://de.wikipedia.org/wiki/Seifenblase,Gesellschaft,Alltagskultur,33
1,16,Tatsächlich platzen die meisten Seifenblasen im oberen Teil.,Seifenblase,https://de.wikipedia.org/wiki/Seifenblase,Gesellschaft,Alltagskultur,8
1,17,"Das Verdunsten kann man behindern, indem man die Seifenblase oder einen Seifenfilm in ein Einmachglas „sperrt“.",Seifenblase,https://de.wikipedia.org/wiki/Seifenblase,Gesellschaft,Alltagskultur,16
1,18,Dadurch verlängert sich die Lebensdauer der Blase erheblich.,Seifenblase,https://de.wikipedia.org/wiki/Seifenblase,Gesellschaft,Alltagskultur,8
1,19,"Die Schichtdicke der Seifenblase lässt sich beobachten: Spiegelt die Oberfläche in bunten Interferenzfarben, ist die Schichtdicke vergleichbar mit der Wellenlänge des Lichts.",Seifenblase,https://de.wikipedia.org/wiki/Seifenblase,Gesellschaft,Alltagskultur,22
1,20,Bei abnehmender Schichtdicke wird die Seifenhaut zunächst farblos und zum Schluss dunkel.,Seifenblase,https://de.wikipedia.org/wiki/Seifenblase,Gesellschaft,Alltagskultur,12
1,21,In der Schwerelosigkeit überleben Seifenblasen mit etwa einer Minute doppelt so lang wie auf der Erde.,Seifenblase,https://de.wikipedia.org/wiki/Seifenblase,Gesellschaft,Alltagskultur,16
1,22,Die Blasenwand ist dicker und gleichmäßiger und übersteht auch einen Nadelstich.,Seifenblase,https://de.wikipedia.org/wiki/Seifenblase,Gesellschaft,Alltagskultur,11
1,23,"Die Erzeugung von Seifenblasen ist möglich, da die Oberfläche einer Flüssigkeit – in diesem Falle des Wassers – eine Oberflächenspannung besitzt, die zu einem elastischen Verhalten der Oberfläche führt.",Seifenblase,https://de.wikipedia.org/wiki/Seifenblase,Gesellschaft,Alltagskultur,29
1,24,"Häufig wird angenommen, dass die Seife nötig ist, um die Oberflächenspannung des Wassers zu vergrößern.",Seifenblase,https://de.wikipedia.org/wiki/Seifenblase,Gesellschaft,Alltagskultur,15
1,25,Das Gegenteil ist jedoch der Fall: Die Oberflächenspannung des Seifenwassers ist nur etwa ein Drittel so groß wie die des Wassers.,Seifenblase,https://de.wikipedia.org/wiki/Seifenblase,Gesellschaft,Alltagskultur,21
1,26,"Seifenblasen mit reinem Wasser zu machen ist so schwierig, weil die Oberflächenspannung zu hoch ist, wodurch die Blase sofort zerplatzt.",Seifenblase,https://de.wikipedia.org/wiki/Seifenblase,Gesellschaft,Alltagskultur,20
1,27,"Zusätzlich verlangsamt die Seife die Verdunstung, so dass die Blasen länger halten.",Seifenblase,https://de.wikipedia.org/wiki/Seifenblase,Gesellschaft,Alltagskultur,12
1,28,"Der Gasdruck in einer Seifenblase ist höher als der Druck außerhalb, siehe dazu unter Young-Laplace-Gleichung.",Seifenblase,https://de.wikipedia.org/wiki/Seifenblase,Gesellschaft,Alltagskultur,15
1,29,Die Oberflächenspannung ist ebenfalls der Grund für die kugelförmige Gestalt der Seifenblasen.,Seifenblase,https://de.wikipedia.org/wiki/Seifenblase,Gesellschaft,Alltagskultur,12
1,30,"Durch Minimierung der Oberfläche zwingt sie die Blase in diese Form, da von allen möglichen Formen zu einem gegebenen Volumen die Kugel die kleinste Oberfläche aufweist.",Seifenblase,https://de.wikipedia.org/wiki/Seifenblase,Gesellschaft,Alltagskultur,26
1,31,Ohne äußere Kräfte (insbesondere Schwerkraft in Kombination mit Luftreibung) würden alle Blasen ideale Kugelform besitzen.,Seifenblase,https://de.wikipedia.org/wiki/Seifenblase,Gesellschaft,Alltagskultur,15
1,32,Aufgrund ihres geringen Eigengewichts kommen Seifenblasen diesem Ideal in der Realität sehr nahe.,Seifenblase,https://de.wikipedia.org/wiki/Seifenblase,Gesellschaft,Alltagskultur,13
2,33,"Der Begriff Badekultur oder Badewesen bezieht sich auf das Baden in warmem oder kaltem Wasser, das in erster Linie der Reinigung dient, aber auch der Förderung der Gesundheit und des Wohlbefindens.",Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,31
2,34,"Das Dampfbad, heute zur Sauna gezählt, diente ebenfalls diesem Zweck.",Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,10
2,35,"Die Ursprünge der europäischen Badekultur liegen in der Antike, als öffentliche Thermen auch eine wichtige soziale Funktion hatten.",Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,18
2,36,Mit der Völkerwanderung kam der Zerfall der römischen Badekultur.,Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,9
2,37,Im Byzantinischen Reich dagegen blieb die Tradition bestehen und wurde später von den islamischen Eroberern fortgeführt (etwa in Gestalt des hamm?m).,Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,21
2,38,"Im Mittelalter wurde die Tradition auch in Europa wieder aufgenommen, mit den im Vergleich zu den Thermen allerdings bescheiden dimensionierten Badehäusern.",Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,21
2,39,In der Neuzeit ist die Badekultur eng mit der Entstehung von Kurorten mit Thermalquellen sowie Seebädern verbunden.,Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,17
2,40,Über private Badezimmer verfügte die große Masse der europäischen Bevölkerung erst ab dem 20.Jahrhundert.,Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,14
2,41,Die Bedeutung des Bades in verschiedenen Epochen war immer eng mit den jeweils herrschenden Vorstellungen von Hygiene verknüpft.,Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,18
2,42,Die ersten größeren Badeanlagen fanden sich unter anderem in den Städten der Indus-Kultur (um 2500–1900 v.Chr.).,Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,16
2,43,"In Mohenjo-Daro lag ein Bad auf der „Zitadelle“ und befand sich in einem Gebäude mit einem 7 × 12 m großen und 2,4 m tiefen Becken, in das zwei Treppen hinabführten.",Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,31
2,44,Die Wasserversorgung erfolgte über Brunnen.,Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,5
2,45,"Die Größe der Anlage deutet an, dass dieses Bad nicht nur der Körperreinigung, sondern wohl auch rituellen Zwecken und dem Vergnügen am Baden dienen sollte.",Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,25
2,46,"Aber nicht nur in diesem wohl öffentlichen Gebäude fand man Badeeinrichtungen, sondern auch in vielen Häusern der Stadt, die auf ein ausgeprägtes Hygienebedürfnis der Bewohner, vielleicht aber auch auf rituelle Waschungen schließen lassen.",Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,33
2,47,"Weitere frühe Badeanlagen sind aus dem Alten Reich des Alten Ägyptens (ca. 2700–2200 v. Chr.), aus Mari in Mesopotamien (um 2000 v. Chr.), auch aus Knossos in der Minoischen Kultur (um 2000 v. Chr.) sowie aus der Mykenischen Kultur (ab ca. 1600 v. Chr.) bekannt.",Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,45
2,48,Im antiken Griechenland und bei den Römern hatte die Badekultur einen sehr hohen Stellenwert.,Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,14
2,49,Schon etwa 2000 Jahre vor unserer Zeitrechnung gab es auf Kreta private Baderäume und eine Kanalisation.,Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,16
2,50,"Die im späten 8. Jahrhundert v. Chr. niedergeschriebene Odyssee, die die Abenteuer des Königs Odysseus von Ithaka und seiner Gefährten auf der Heimkehr aus dem Trojanischen Krieg schildert, belegt in zahlreichen Versen den hohen Stellenwert, den die Griechen einer Reinigung mit Wasser beimaßen.",Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,43
2,51,"So schildert der achte Gesang beispielsweise, wie im Hause des Phaiakenkönigs Alkinoos Odysseus von den Haussklaven ein Bad zubereitet wird, bevor er sich an der Tafel seines Gastgebers niederlässt.",Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,29
2,52,"Vergleichbare Stellen belegen eine sorgfältige Reinigung vor Gebeten und Opfern und die Sitte, dem Gast zunächst Wasser zu reichen, damit er sich seine Hände waschen könne und ihm anschließend ein Bad anzubieten.",Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,32
2,53,Im 5. Jahrhundert v. Chr. entstanden öffentliche Badeanstalten mit einem Becken und Wannen sowie einem Salbraum (griechisch ????????? balaneion „Badstube“ bzw. ??????? lutron „Bad“).,Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,24
2,54,Ab dem 4. Jahrhundert wurden öffentliche Bäder zu einer verbreiteten Einrichtung in griechischen Städten.,Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,14
2,55,"Ein bestimmtes Bauschema scheint es nicht gegeben zu haben, man findet Räume mit meist 10 bis 22 Wannen oder Sitzwannen sowohl in rechteckiger (zum Beispiel in Olympia) als auch kreisbogenförmiger Anordnung (zum Beispiel in Gortyn, Gela und Megara Hyblaea).",Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,39
2,56,"Teilweise gab es in einem Badekomplex zwei Baderäume, in denen Männer und Frauen getrennt baden konnten.",Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,16
2,57,Neben diesen öffentlichen Bädern gab es auch in Privathäusern bereits Badezimmer.,Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,11
2,58,Häufig enthielten sie nur ein Waschbecken in Hüfthöhe.,Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,8
2,59,"Einige enthielten auch bereits aus Ton gebrannte Badewannen, wie man sie beispielsweise in Olynth ausgegraben hat.",Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,16
2,60,"Zur weiteren Reinigung kannten die Griechen Schwitzbäder (Dampfbäder), in denen heiße Steine mit Wasser übergossen wurden.",Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,16
2,61,Es gab außerdem trockene Heißluftbäder.,Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,5
2,62,"Das waren kleine Räume, in denen ein Becken mit Holzkohle für Hitze sorgte.",Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,13
2,63,300 Jahre später wurde das so genannte Hypokaustum zur Beheizung der Badeanlagen eingeführt.,Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,13
2,64,"Oft besaßen auch die hellenistischen Sportanlagen (Ez./Sg.: Gymnasion, Mz. /Pl.: Gymnasia) Wasserbecken zur Abkühlung nach dem Sport.",Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,17
2,65,"Da die Athleten sich für die Wettkämpfe mit Sand und Öl einrieben, wurden Schweiß und Schmutz hinterher mit einer Strigilis (Hautschaber) und Wasser entfernt.",Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,24
2,66,"Es gibt keine Belege, dass Gymnasia vor der römischen Zeit ihren Nutzern bereits heißes Wasser anboten, obwohl dieses zur Entfernung des Öls und Schmutzes besser geeignet gewesen wäre.",Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,28
2,67,"Die griechischen Sportstätten mit integrierten Bädern waren allerdings bereits zu diesem Zeitpunkt Begegnungsstätten, in denen man sich stundenlang aufhielt.",Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,19
2,68,"Gymnasia, die auch über heißes Wasser verfügten, sind erstmals für das 1. Jahrhundert v. Chr. belegt. ",Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,17
2,69,Die Vorliebe für warme Bäder war in der griechischen Gesellschaft nicht ohne Kritik.,Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,13
2,70,"Der griechische Komödiendichter Aristophanes (um 450 bis 380 v. Chr.) zweifelt in Die Wolken daran, ob die sich in warmen Bädern verweichlichenden Griechen noch über die Manneskraft verfügten, die ihre Vorfahren in der Schlacht bei Marathon erfolgreich sein ließen.",Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,39
2,71,"Platon (um 428 bis 348 v. Chr.) plädierte in seinem Dialog Nomoi dafür, heiße Bäder auf Alte und Kranke zu beschränken.",Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,21
2,72,"Noch rigoroser in ihrer Ablehnung waren die Spartaner, die in ihrer Ablehnung warmer Bäder sich auf ihren mythischen Staatsgründer Lykurg beriefen und in ihnen eine Gefahr für die Kriegsfähigkeit ihres Staates sahen.",Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,32
2,73,"Griechische Ärzte wandten bereits Hydrotherapie an, die sie von den Ägyptern übernommen hatten.",Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,13
2,74,Hippokrates war ein bekannter Befürworter der Kaltwasserbehandlungen.,Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,7
2,75,Er empfahl kalte Wassergüsse bei Rheuma und Gicht sowie kalte Wickel gegen Fieber.,Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,13
2,76,"Außerdem waren bereits zahlreiche Heilquellen bekannt, von denen viele Göttern geweiht waren.",Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,12
2,77,"An besonders wirksamen Quellen wurden so genannte Asklepios-Tempel errichtet, die von Kranken aufgesucht wurden und die im Grunde schon Sanatorien waren.",Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,21
2,78,Der berühmteste dieser Tempel befand sich in der Stadt Epidauros.,Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,10
2,79,Einen sehr guten Ruf hatten auch die heißen Quellen von Adepsos auf der Insel Euböa.,Badekultur,https://de.wikipedia.org/wiki/Badekultur,Gesellschaft,Alltagskultur,15
3,80,"Der Ausdruck Fahrradfahren – auch Radfahren oder Radeln, schweizerisch Velofahren – bezeichnet die Fortbewegung auf einem Fahrrad, sei es als Verkehrsmittel im Radverkehr oder als Sportart, die als Freizeitbeschäftigung, zur Erhaltung der Gesundheit oder als sportlicher Wettkampf bis hin zum Leistungssport betrieben wird.",Fahrradfahren,https://de.wikipedia.org/wiki/Fahrradfahren,Gesellschaft,Alltagskultur,43
3,81,Die Durchschnittsgeschwindigkeiten beim Fahrradfahren liegen für gewöhnlich bei 10 bis 25 km/h.,Fahrradfahren,https://de.wikipedia.org/wiki/Fahrradfahren,Gesellschaft,Alltagskultur,12
3,82,"Ein Fahrrad mit limitierter Tretunterstützung („Pedelec“) unterstützt den Fahrer bis zu einer Geschwindigkeit von 25 km/h, bestimmte Modelle sogar bis 45 km/h (S-Pedelec).",Fahrradfahren,https://de.wikipedia.org/wiki/Fahrradfahren,Gesellschaft,Alltagskultur,23
3,83,Bei der Tour de France liegt die höchste Durchschnittsgeschwindigkeit eines Fahrers bei 41 km/h.,Fahrradfahren,https://de.wikipedia.org/wiki/Fahrradfahren,Gesellschaft,Alltagskultur,14
3,84,Bei Abfahrten werden teilweise Geschwindigkeiten über 100 km/h erreicht.,Fahrradfahren,https://de.wikipedia.org/wiki/Fahrradfahren,Gesellschaft,Alltagskultur,9
3,85,"Ohne Höhenunterschiede werden höhere Durchschnittsgeschwindigkeiten erreicht: Der Stundenweltrekord für normale Fahrräder liegt seit 2005 bei 50 km/h, mit besonders aerodynamischen Fahrrädern bei 56 km/h.",Fahrradfahren,https://de.wikipedia.org/wiki/Fahrradfahren,Gesellschaft,Alltagskultur,24
3,86,"Der Geschwindigkeitsweltrekord, der in Bergabfahrt auf einem speziell angefertigten Mountainbike ohne Hilfsantrieb erreicht wurde, liegt bei 223,3 km/h.",Fahrradfahren,https://de.wikipedia.org/wiki/Fahrradfahren,Gesellschaft,Alltagskultur,18
3,87,Der allgemeine Stundenweltrekord für ausschließlich mit eigener Muskelkraft betriebene Fahrzeuge liegt deutlich über dem Rekord mit einem klassischen Rennrad.,Fahrradfahren,https://de.wikipedia.org/wiki/Fahrradfahren,Gesellschaft,Alltagskultur,19
3,88,"Die Französin Barbara Buatois fuhr mit einem vollverkleideten Liegerad am 19. Juli 2009 im US-amerikanischen Romeo eine Strecke von 84,02 km, womit sie als erste Frau eine Strecke von mehr als 80 km in einer Stunde mit einem Liegerad zurücklegte.",Fahrradfahren,https://de.wikipedia.org/wiki/Fahrradfahren,Gesellschaft,Alltagskultur,40
3,89,"Den aktuellen Stundenweltrekord der Männer hält der Schweizer Francesco Russo; er fuhr am 26. Juni 2016 im deutschen Klettwitz 92,43 km.",Fahrradfahren,https://de.wikipedia.org/wiki/Fahrradfahren,Gesellschaft,Alltagskultur,21
3,90,Ohne Eingriffe durch den Fahrer würde ein Rad innerhalb kürzester Zeit umfallen.,Fahrradfahren,https://de.wikipedia.org/wiki/Fahrradfahren,Gesellschaft,Alltagskultur,12
3,91,Der Fahrer hält das System Fahrrad/Fahrer mit kleinen Lenkausschlägen im Gleichgewicht.,Fahrradfahren,https://de.wikipedia.org/wiki/Fahrradfahren,Gesellschaft,Alltagskultur,11
3,92,In den letzten Jahren wurden durch die Zunahme des Radfahrens auch vermehrt die medizinischen Aspekte des Fahrradfahrens untersucht.,Fahrradfahren,https://de.wikipedia.org/wiki/Fahrradfahren,Gesellschaft,Alltagskultur,18
3,93,Generell gilt Fahrradfahren als sehr gesund (Herz- und Kreislauftraining)[3] und gelenkschonend.,Fahrradfahren,https://de.wikipedia.org/wiki/Fahrradfahren,Gesellschaft,Alltagskultur,11
3,94,"Dabei kommt es aber darauf an, eine gute Ergonomie für den gesamten Körper herzustellen.",Fahrradfahren,https://de.wikipedia.org/wiki/Fahrradfahren,Gesellschaft,Alltagskultur,14
3,95,Nicht alle Arten des Radfahrens erreichen dies in gleicher Weise.,Fahrradfahren,https://de.wikipedia.org/wiki/Fahrradfahren,Gesellschaft,Alltagskultur,10
3,96,"Untersuchungen unter anderem des ADFC haben ergeben, dass die Haltung auf dem sogenannten Reiserad bei richtiger Rahmengröße und richtigem Sattel die Haltung ist, die der menschlichen Anatomie am stärksten entgegenkommt.",Fahrradfahren,https://de.wikipedia.org/wiki/Fahrradfahren,Gesellschaft,Alltagskultur,30
3,97,"Wichtig ist, beim Fahrradfahren eine möglichst gleichmäßige Belastung der Kontaktpunkte des Fahrers mit dem Fahrrad gemäß der natürlichen Anatomie des Menschen zu erreichen.",Fahrradfahren,https://de.wikipedia.org/wiki/Fahrradfahren,Gesellschaft,Alltagskultur,23
3,98,"Dabei trägt naturgemäß der Fuß mit dem Kontaktpunkt Pedal den größten Teil des Körpergewichtes, und der Fuß ist von Natur auch dafür geschaffen, die Körperlast zu tragen.",Fahrradfahren,https://de.wikipedia.org/wiki/Fahrradfahren,Gesellschaft,Alltagskultur,27
3,99,"Um die ergonomischste Rückenhaltung zu erreichen, sollte die Sitzhaltung idealerweise so sein, dass die imaginäre Linie zwischen Schulterblatt und höchstem Punkt des Pedals senkrecht ist.",Fahrradfahren,https://de.wikipedia.org/wiki/Fahrradfahren,Gesellschaft,Alltagskultur,25
3,100,"Um eine optimale Versorgung der Füße und eine möglichst geringe Belastung der Knie zu erreichen, sollte die Sattelhöhe so eingestellt werden, dass beim Treten der Pedale am tiefsten Punkt das Bein immer noch leicht angewinkelt ist.",Fahrradfahren,https://de.wikipedia.org/wiki/Fahrradfahren,Gesellschaft,Alltagskultur,36
3,101,Als zweitgrößte Belastungszone ist der Kontakt zwischen Gesäß und Sattel anzusehen.,Fahrradfahren,https://de.wikipedia.org/wiki/Fahrradfahren,Gesellschaft,Alltagskultur,11
3,102,"Dieser Berührungspunkt kann insbesondere daher problematisch werden, da das menschliche Becken mit seinen Sitzbeinhöckern und dem Schambein (bzw. den Schambeinkufen, auch Schambeinkamm genannt) durch den Kippwinkel des Beckens Auswirkungen auf die Biegung der gesamten Wirbelsäule hat.",Fahrradfahren,https://de.wikipedia.org/wiki/Fahrradfahren,Gesellschaft,Alltagskultur,36
3,103,Somit kann eine falsche Beckenhaltung (z.B. um Missempfindungen aufgrund des Sattels zu vermeiden) zu einer starken Belastung der Wirbelsäule führen.,Fahrradfahren,https://de.wikipedia.org/wiki/Fahrradfahren,Gesellschaft,Alltagskultur,20
3,104,"Gleichfalls problematisch wird ein falscher Beckenwinkel auf dem Sattel für den gesamten Beckenbereich, da dieser Bereich stark mit Blut- und Nervenbahnen durchzogen ist, die auf der Innenseite der Oberschenkel liegen und die die unteren Gliedmaße zu versorgen haben.",Fahrradfahren,https://de.wikipedia.org/wiki/Fahrradfahren,Gesellschaft,Alltagskultur,38
3,105,"Werden diese Versorgungsbahnen durch ein Aufliegen des Schambeins bzw. der Schambeinkufen / des Schambeinkamms auf dem Sattel längere Zeit eingeengt oder gar gequetscht, können dadurch Schädigungen der entsprechenden Gefäße und Versorgungsbahnen entstehen.",Fahrradfahren,https://de.wikipedia.org/wiki/Fahrradfahren,Gesellschaft,Alltagskultur,32
3,106,"Daher ist es notwendig, die Hauptbelastung dieses Kontaktpunktes auf die Sitzhöcker zu bringen und möglichst wenig Druck auf den Bereich der Schambeinkufen, des Damms, der Genitalien und der innenliegenden obersten Teile der Oberschenkel auszuüben.",Fahrradfahren,https://de.wikipedia.org/wiki/Fahrradfahren,Gesellschaft,Alltagskultur,34
3,107,Schließlich bilden die Hände mit dem Lenker den dritten Kontaktpunkt zwischen Radfahrer und Fahrrad.,Fahrradfahren,https://de.wikipedia.org/wiki/Fahrradfahren,Gesellschaft,Alltagskultur,14
3,108,"Auch hier sind medizinische Aspekte zu beachten, um eine optimale Blut- und Nervenversorgung der Hände und Finger zu gewährleisten.",Fahrradfahren,https://de.wikipedia.org/wiki/Fahrradfahren,Gesellschaft,Alltagskultur,19
3,109,"Dabei spielt die Entfernung des Lenkers zum Gesäß des Radfahrers genauso eine wichtige Rolle wie die Lenkerform (Biegung) und die Höhe des Lenkers, der optimalerweise in gleicher Höhe wie die Mitte der Beckenknochen sein sollte.",Fahrradfahren,https://de.wikipedia.org/wiki/Fahrradfahren,Gesellschaft,Alltagskultur,35
3,110,"Die Arme sollten nicht gestreckt, sondern leicht angewinkelt sein,[7] um Bodenunebenheiten besser abfedern zu können.",Fahrradfahren,https://de.wikipedia.org/wiki/Fahrradfahren,Gesellschaft,Alltagskultur,15
3,111,Der Abstand zwischen beiden Händen (gemessen vom kleinen Finger der einen zum kleinen Finger der anderen Hand) sollte nur unwesentlich den Abstand der Schulterblätter übersteigen.,Fahrradfahren,https://de.wikipedia.org/wiki/Fahrradfahren,Gesellschaft,Alltagskultur,25
3,112,"Die Hand sollte die gerade Verlängerung des Unterarms bilden und weder nach oben noch nach unten geknickt werden, um so durch das Handgelenk eine permanente und ungehinderte Blutversorgung der gesamten Hand sicherzustellen.",Fahrradfahren,https://de.wikipedia.org/wiki/Fahrradfahren,Gesellschaft,Alltagskultur,32
3,113,"Wird das Gewicht gleichmäßig auf die drei Kontaktpunkte verteilt, entsteht ein zusätzlicher Druckpunkt an der Wirbelsäule zwischen den Schultern, dort wo die Arme ansetzen.",Fahrradfahren,https://de.wikipedia.org/wiki/Fahrradfahren,Gesellschaft,Alltagskultur,24
